1;2;3;4;5;6;7;;;;8;;9;;
sort;longitude;latitude;area;radius minimum;radius maximum;length;elongation;eccentricityboundingbox;solidity;eccentricity eigen;calliper;rectangularity;circularityharalick;convexity
135;109,95 ;1,29 ;0,01 ;0,59 ;3,22 ;0,12 ;0,14 ;0,86 ;1,00 ;0,66 ;0,12 ;0,64 ;8,248595883;0,759068597
136;109,05 ;1,29 ;0,00 ;0,81 ;2,35 ;0,09 ;0,50 ;0,50 ;1,00 ;0,22 ;0,09 ;0,70 ;3,320487645;0,816391606
137;119,22 ;1,40 ;0,01 ;1,20 ;3,93 ;0,16 ;0,40 ;0,60 ;1,00 ;0,24 ;0,16 ;0,58 ;4,028185635;0,806212828
138;119,34 ;1,38 ;0,00 ;0,56 ;2,21 ;0,08 ;0,49 ;0,51 ;1,00 ;0,23 ;0,08 ;0,65 ;4,119097255;0,718961973
139;137,60 ;2,18 ;1,88 ;0,43 ;56,96 ;2,21 ;0,47 ;0,53 ;1,00 ;0,22 ;2,23 ;0,73 ;4,166739193;0,886266041
140;118,88 ;1,43 ;0,00 ;1,35 ;2,25 ;0,08 ;0,21 ;0,79 ;1,00 ;0,47 ;0,08 ;0,71 ;8,128292797;0,819354344
141;119,42 ;1,63 ;0,07 ;6,12 ;8,56 ;0,32 ;0,00 ;1,00 ;1,00 ;0,71 ;0,33 ;0,70 ;15,72610744;0,918407683
142;108,82 ;1,57 ;0,01 ;0,87 ;5,08 ;0,19 ;0,49 ;0,51 ;1,00 ;0,22 ;0,20 ;0,61 ;2,569652701;0,938411204
143;109,74 ;1,87 ;0,39 ;3,85 ;23,82 ;0,93 ;0,32 ;0,68 ;1,00 ;0,34 ;0,93 ;0,66 ;4,33332585;0,910596171
144;118,87 ;1,56 ;0,01 ;2,01 ;3,03 ;0,11 ;0,22 ;0,78 ;1,00 ;0,60 ;0,12 ;0,67 ;3,975772689;0,808391379
145;120,61 ;1,57 ;0,01 ;1,25 ;2,66 ;0,10 ;0,28 ;0,72 ;1,00 ;0,63 ;0,10 ;0,70 ;5,491356561;0,851620355
146;118,45 ;2,17 ;0,73 ;13,23 ;29,77 ;1,16 ;0,25 ;0,75 ;1,00 ;0,48 ;1,16 ;0,72 ;6,735425944;0,857747654
147;138,83 ;1,68 ;0,02 ;1,85 ;4,96 ;0,19 ;0,18 ;0,82 ;1,00 ;0,69 ;0,19 ;0,66 ;5,33894488;0,877803546
148;119,84 ;1,67 ;0,00 ;1,16 ;2,55 ;0,10 ;0,36 ;0,64 ;1,00 ;0,42 ;0,10 ;0,68 ;3,908158122;0,841896901
149;108,26 ;1,74 ;0,00 ;0,88 ;3,06 ;0,12 ;0,39 ;0,61 ;1,00 ;0,21 ;0,12 ;0,58 ;6,020963664;0,656986169
150;119,77 ;2,05 ;0,16 ;0,89 ;16,99 ;0,65 ;0,46 ;0,54 ;1,00 ;0,16 ;0,65 ;0,68 ;7,908558143;0,693226351
151;141,59 ;1,95 ;0,05 ;3,24 ;9,37 ;0,35 ;0,36 ;0,64 ;1,00 ;0,41 ;0,35 ;0,70 ;5,619913067;0,951555707
152;117,62 ;2,07 ;0,11 ;3,26 ;13,42 ;0,53 ;0,50 ;0,50 ;1,00 ;0,22 ;0,53 ;0,77 ;4,478522282;0,831229151
153;119,32 ;2,61 ;0,59 ;0,97 ;30,65 ;1,09 ;0,33 ;0,67 ;1,00 ;0,43 ;1,11 ;0,75 ;4,325090972;0,958385952
154;117,86 ;2,24 ;0,01 ;0,76 ;2,98 ;0,11 ;0,37 ;0,63 ;1,00 ;0,32 ;0,12 ;0,65 ;3,692133548;0,713693772
